"date","ET0","RAD","TMX","TMA","TMN","HMX","HMN","PRE","WIN"
2000-01-01,1.75,13.24,15.39,7.96,3.99,60.55,21.51,0.89,0.82
2000-01-08,1.63,13.37,11.53,2.46,-2.02,81.39,28.15,0.66,0.55
2000-01-15,1.7,13.12,11.46,6.42,0.78,57.88,26.01,0.66,1.93
2000-01-22,1.56,14.06,8.91,2.01,-3.14,72.56,24.09,1.5,0.93
2000-01-29,1.84,13.17,14.68,8.62,3.15,85.37,30.49,2.49,1.2
2000-02-05,1.83,12.67,14.47,8.73,3.88,79.98,29.09,1.2,1
2000-02-12,1.6,11.05,9.44,4.91,0.93,83.52,36.9,2.95,1.12
2000-02-19,1.63,15.96,9.74,3.12,-2.07,74.76,27.09,1.28,1.13
2000-02-26,1.6,11.08,10.16,4.89,0.77,89.41,45.98,2.67,0.94
2000-03-04,1.89,15.59,13.54,8.02,2.63,66,23.57,0.31,1.63
2000-03-11,1.8,11.93,11.43,6.25,0.76,90.99,33.08,1.19,1.43
2000-03-18,1.83,13.6,12.54,5.97,1.15,79.58,31.62,0.8,1.07
2000-03-25,1.25,6.04,6.27,2.71,-0.16,97.85,65.67,5.02,1.02
2000-04-01,1.53,11.91,9.23,3.71,-0.24,90.7,47.16,3.02,0.82
2000-04-08,1.19,7.65,6.99,3.21,0.56,93.01,60.36,2.28,1.24
2000-04-15,1.75,8.42,11.5,6.66,2.85,89.58,49.99,3.1,1.05
2000-04-22,2.04,12.43,13.57,8.16,3.37,84.49,38.57,2.98,0.83
2000-04-29,1.84,8.75,12.68,7.31,3.73,85.48,45.63,2.12,0.66
2000-05-06,1.59,8.03,10.93,6.66,3.22,91.26,60.8,2.65,0.78
2000-05-13,2.15,14.47,14.08,8.12,3.45,87.18,32.41,2.4,0.95
2000-05-20,1.71,12.59,9.56,3.87,-0.97,87.55,36.52,2.08,0.94
2000-05-27,1.74,10.84,10.87,5.13,1.12,89.99,41.62,0.93,1.11
2000-06-03,2.18,12.46,13.47,7.21,2.5,84.94,35.96,1.82,0.95
2000-06-10,1.84,10.31,11.16,5.79,1.45,79.14,35.78,2.81,0.88
2000-06-17,2.07,14.32,12.01,6.03,0.73,84.85,28.94,2.27,0.94
2000-06-24,1.33,11.23,6.89,1.42,-2.81,83.99,34.95,2.77,1
2000-07-01,1.85,13.74,11.44,6.36,2.08,86.83,38.2,1.65,1.3
2000-07-08,1.07,9.18,5.25,0.33,-3.38,80.81,40.4,3.22,1.11
2000-07-15,1.3,13.14,6.09,0.13,-4.43,80.73,28.23,1.13,0.85
2000-07-22,1.4,10.72,8.14,3.13,-0.9,87.16,46.1,2.77,1.15
2000-07-29,1.41,11.5,7.71,2.64,-1.73,83.32,40.4,2.69,0.96
2000-08-05,1.47,9.94,8.19,3.14,-0.95,86.24,42.75,2.76,0.72
2000-08-12,2.14,14.07,13.58,7.26,2.44,81.36,27.91,1.98,0.92
2000-08-19,2.29,18.01,14.72,8.84,3.28,74.99,15.29,-0.43,1.23
2000-08-26,1.63,11.47,10.26,4.86,1.08,86.17,42.11,2.79,0.99
2000-09-02,1.71,13.63,8.93,2.37,-2.91,80.24,25.41,2,1.05
2000-09-09,2.02,14.75,13.55,7.35,2.55,79.39,29.85,0.22,0.92
2000-09-16,1.68,9.92,10.4,5.4,1.05,85.02,44.44,3.33,1.13
2000-09-23,1.86,13.61,12.45,6.73,2.15,88.18,38.27,0.52,0.91
2000-09-30,1.4,7.72,8.47,4.64,1.65,86.69,59.02,4.11,0.81
2000-10-07,1.21,5.09,4.56,1.77,-1.05,92.39,75.04,5.19,1.02
2000-10-14,1.52,7.71,10.09,6.63,3.7,93.91,64.84,3.33,0.81
2000-10-21,1.72,14.09,12.05,5.9,1.86,87.31,36.18,0.2,0.91
2000-10-28,1.46,11.06,7.63,3.96,0.57,97.92,68.37,3.7,1.1
2000-11-04,1.48,11.1,6.76,1.94,-1.6,95.75,60.25,3.97,1.02
2000-11-11,1.54,11.13,8.67,4.17,0.4,100.13,63.98,4.95,0.78
2000-11-18,1.53,10.04,7.77,3.73,0.68,99.26,65.98,4.43,0.75
2000-11-25,1.68,13.27,12.81,6.34,2.11,87.73,41.85,2.76,0.87
2000-12-02,1.63,12.81,12.47,7.47,4.5,102.87,61.24,1.95,0.66
2000-12-09,1.69,12.46,14.19,9.56,5.75,99.61,50.78,3.79,1
2000-12-16,1.63,12.7,10.14,3.77,-0.47,82.81,37.58,1.38,1.02
2000-12-23,1.56,11.38,9,4.05,0.29,100.91,65.11,3.3,0.58
2000-12-30,1.45,12.23,4.4,-0.7,-4.36,92.55,44.04,2.6,0.87
2001-01-06,1.59,11.38,10.66,5.3,1.35,105.41,68.22,5.07,0.6
2001-01-13,1.6,12.7,9.04,3.32,-0.76,104.39,62.15,3.42,1.07
2001-01-20,1.56,12.23,8.75,1.95,-2.28,94.74,48.43,2.94,0.79
2001-01-27,1.56,9.61,9.6,5.44,1.96,108.56,78.37,3.76,0.73
2001-02-03,1.53,13.33,7.51,1.2,-3.44,83.94,41.92,0.73,1.06
2001-02-10,1.71,11.82,13.47,7.43,3.86,104.12,64.38,2.95,0.8
2001-02-17,1.88,13.02,16.34,10.14,6.13,81.8,34.9,1.09,1
2001-02-24,1.56,13.22,8.86,4.02,-0.59,76.05,34.52,1.15,1.64
2001-03-03,1.42,10.36,6.29,0.71,-3.69,95.41,56.41,3.53,0.95
2001-03-10,1.7,10.12,12.62,7.05,3.73,104.86,61,3.42,0.76
2001-03-17,1.62,9.59,10.49,5.22,1.46,106.56,62.79,4.05,0.99
2001-03-24,1.84,11.13,13.32,8.15,4.25,103.43,46.76,3.5,1.15
2001-03-31,1.52,10.68,9.27,3.82,0.08,97.99,58.81,4.69,0.9
2001-04-07,1.65,11.06,10.16,4.46,0.22,97.12,53.16,3.44,0.85
2001-04-14,1.38,14.97,6.79,1.56,-2.93,82.15,39.64,3.23,1.08
2001-04-21,1.02,7.93,3.63,-0.38,-3.43,97.29,65.13,3.91,0.87
2001-04-28,1.69,13.75,9.76,3.54,-1.43,89.64,40.43,1.87,0.79
2001-05-05,1.88,11.89,12.39,6.55,2.46,86.62,43.63,1.98,0.79
2001-05-12,1.94,15.89,11.96,5.85,1.11,86.69,36.66,2.26,0.86
2001-05-19,1.68,11.62,10.76,5.36,1.07,89.03,53.56,2.27,0.94
